timestamp,symbol,action,entry,stop,TP1,TP2,TP3,TP4,TP5,status,hit_level,close_time,exit_price,quantity,pnl,original_qty,highest_tp,breakeven
2026-07-05 07:44:50,ADA-USD,LONG,0.1927,0.184992,0.195783,0.198866,0.20195,0.205033,0.208116,open,STOP LOSS,2026-07-06 07:03:01,0.184992,1297.35339907,-10.0,1297.35339907,-1.0,False
2026-07-06 07:03:11,WLD-USD,SHORT,0.417,0.43368,0.410328,0.403656,0.396984,0.390312,0.38364,open,TP1,2026-07-06 11:08:38,0.410328,178.057553958,1.188,593.52517986,-1.0,False
2026-07-06 07:03:11,WLD-USD,SHORT,0.417,0.43368,0.410328,0.403656,0.396984,0.390312,0.38364,open,BREAKEVEN STOP,2026-07-06 11:08:38,0.417,415.467625902,0.0,593.52517986,0.0,True
2026-07-06 11:08:51,AAVE-USD,LONG,93.015,89.2944,94.50324,95.99148,97.47972,98.96796,100.4562,open,TP1,2026-07-07 01:58:44,94.50324,0.799216254,1.1894,2.66405418,-1.0,False
2026-07-06 11:08:51,AAVE-USD,LONG,93.015,89.2944,94.50324,95.99148,97.47972,98.96796,100.4562,open,BREAKEVEN STOP,2026-07-07 01:58:44,93.015,1.864837926,0.0,2.66405418,0.0,True
2026-07-07 01:58:56,JST-USD,LONG,0.09334,0.091072,0.094247,0.095154,0.096062,0.096969,0.097876,open,TP1,2026-07-09 07:51:20,0.094247,1312.668552378,1.1906,4375.56184126,-1.0,False
2026-07-07 01:58:56,JST-USD,LONG,0.09334,0.091072,0.094247,0.095154,0.096062,0.096969,0.097876,open,BREAKEVEN STOP,2026-07-09 07:51:20,0.09334,3062.893288882,0.0,4375.56184126,0.0,True
2026-07-07 16:14:18,ZEC-USD,LONG,500.483,470.45402,512.494592,524.506184,536.517776,548.529368,560.54096,open,STOP LOSS,2026-07-09 07:51:20,470.45402,0.33047324,-9.9238,0.33047324,-1.0,False
2026-07-09 07:51:30,JST-USD,LONG,0.09665,0.093541,0.097894,0.099137,0.100381,0.101624,0.102868,open,TP1,2026-07-11 11:44:17,0.097894,949.158161781,1.1808,3163.86053927,-1.0,False
2026-07-09 07:51:30,JST-USD,LONG,0.09665,0.093541,0.097894,0.099137,0.100381,0.101624,0.102868,open,TP2,2026-07-11 11:44:17,0.099137,316.38605392700003,0.7869,3163.86053927,0.0,True
2026-07-09 07:51:30,JST-USD,LONG,0.09665,0.093541,0.097894,0.099137,0.100381,0.101624,0.102868,open,TP3,2026-07-11 11:44:17,0.100381,316.38605392700003,1.1804,3163.86053927,1.0,True
2026-07-09 07:51:30,JST-USD,LONG,0.09665,0.093541,0.097894,0.099137,0.100381,0.101624,0.102868,open,TP4,2026-07-11 11:44:17,0.101624,316.38605392700003,1.5737,3163.86053927,2.0,True
2026-07-09 07:51:30,JST-USD,LONG,0.09665,0.093541,0.097894,0.099137,0.100381,0.101624,0.102868,open,TP5,2026-07-11 11:44:17,0.102868,1265.544215708,7.8692,3163.86053927,3.0,True
2026-07-09 07:51:30,JST-USD,LONG,0.09665,0.093541,0.097894,0.099137,0.100381,0.101624,0.102868,open,BREAKEVEN STOP,2026-07-11 11:44:17,0.100381,4.547473508864641e-13,0.0,3163.86053927,4.0,True
2026-07-11 11:44:32,DEXE-USD,LONG,37.6023,36.098208,38.203937,38.805574,39.40721,40.008847,40.610484,open,TP1,2026-07-12 10:57:39,38.203937,1.98704961,1.1955,6.6234987,-1.0,False
2026-07-11 11:44:32,DEXE-USD,LONG,37.6023,36.098208,38.203937,38.805574,39.40721,40.008847,40.610484,open,BREAKEVEN STOP,2026-07-12 10:57:39,37.6023,4.63644909,0.0,6.6234987,0.0,True
2026-07-12 10:57:53,SKY-USD,LONG,0.06147,0.057782,0.062945,0.06442,0.065896,0.067371,0.068846,open,TP1,2026-07-17 10:32:04,0.062945,811.358967159,1.1968,2704.52989053,-1.0,False
2026-07-12 10:57:53,SKY-USD,LONG,0.06147,0.057782,0.062945,0.06442,0.065896,0.067371,0.068846,open,BREAKEVEN STOP,2026-07-17 10:32:04,0.06147,1893.170923371,0.0,2704.52989053,0.0,True
2026-07-17 10:32:17,ONDO-USD,LONG,0.37218,0.357293,0.378135,0.38409,0.390044,0.395999,0.401954,open,TP1,2026-07-18 07:39:22,0.378135,201.24149488199998,1.1984,670.80498294,-1.0,False
2026-07-17 10:32:17,ONDO-USD,LONG,0.37218,0.357293,0.378135,0.38409,0.390044,0.395999,0.401954,open,TP2,2026-07-18 07:39:22,0.38409,67.080498294,0.7989,670.80498294,0.0,True
2026-07-17 10:32:17,ONDO-USD,LONG,0.37218,0.357293,0.378135,0.38409,0.390044,0.395999,0.401954,open,BREAKEVEN STOP,2026-07-18 07:39:22,0.378135,402.48298976399997,0.0,670.80498294,1.0,True
